MP_12359_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;++;Streptococcus salivarius;1304;e64a686a-6a5b-43cf-a5a0-ef23d8416f43;2.241;++;Streptococcus salivarius;1304;e434b01b-1121-4da0-9358-46b25895491e;2.096;++;Streptococcus vestibularis;1343;fcdb42ab-e627-4f12-a54d-6480d622b94b;2.064;++;Streptococcus vestibularis;1343;b042b58b-0d95-4f68-a29d-3692809bf462;2.049;++;Streptococcus salivarius;1304;0437e1e0-67ea-4b50-9b88-38c656addbad;2.046;++;Streptococcus salivarius;1304;2c161b13-e344-4489-a251-6875d1d70e19;2.022;++;Streptococcus salivarius;1304;d12d42e2-c52e-4528-8313-24fddddec627;2.006;++;Streptococcus vestibularis;1343;bf596438-433e-4091-aabc-186578c698d0;2.003;+;Streptococcus vestibularis;1343;de86a098-6887-4ca5-9f31-e5cab614d53a;1.87;+;Streptococcus vestibularis;1343;ea151e5b-b303-4ec0-b0f0-28766554ef1c;1.87;1.87
MP_12385_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Alcaligenes faecalis;32001;97a5a6c9-bba7-4549-bf29-106a7a6265cf;2.481;+++;Alcaligenes faecalis;511;c80de256-f69c-4d05-b416-2ba5ca67b489;2.376;+++;Alcaligenes faecalis;232846;4193bc6f-f607-4356-82fe-0dc19af1b633;2.311;+++;Alcaligenes faecalis;32001;37787a29-d612-41f1-9050-588ca23779b7;2.31;+++;Alcaligenes faecalis;32001;2de3ae5a-0a94-4278-b5ef-57e7997a4407;2.235;+++;Alcaligenes faecalis;32001;75babe78-b9a4-4787-abec-bce78941d4c6;2.234;+++;Alcaligenes faecalis;32001;8ed858d5-beb9-4f7b-a55b-9ceb0b38cad2;2.225;+++;Alcaligenes faecalis;511;db7e83a7-b70c-4b0d-984f-ecae82f14e10;2.175;+++;Alcaligenes faecalis;32001;db920dd1-7052-404c-b0dc-a5010887ed42;2.134;+++;Alcaligenes faecalis;171260;69770af0-c008-4709-b50f-9c4470c27f07;2.019;
MP_12386_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Alcaligenes faecalis;32001;2de3ae5a-0a94-4278-b5ef-57e7997a4407;2.219;+++;Alcaligenes faecalis;232846;4193bc6f-f607-4356-82fe-0dc19af1b633;2.176;+++;Alcaligenes faecalis;171260;69770af0-c008-4709-b50f-9c4470c27f07;2.151;+++;Alcaligenes faecalis;511;db7e83a7-b70c-4b0d-984f-ecae82f14e10;13.febr;+++;Alcaligenes faecalis;32001;97a5a6c9-bba7-4549-bf29-106a7a6265cf;2.083;+++;Alcaligenes faecalis;32001;db920dd1-7052-404c-b0dc-a5010887ed42;2.065;+;Alcaligenes faecalis;32001;37787a29-d612-41f1-9050-588ca23779b7;1.914;+;Alcaligenes faecalis;32001;75babe78-b9a4-4787-abec-bce78941d4c6;1.907;+;Alcaligenes faecalis;171260;75c2b114-77fc-498c-bb9b-7ebe118024ce;1.741;+;Alcaligenes faecalis;32001;8ed858d5-beb9-4f7b-a55b-9ceb0b38cad2;1.722;
MP_12387_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Bacteroides fragilis;817;fb5f3c8c-b102-497c-b132-f96889e802ce;2.501;+++;Bacteroides fragilis;817;76bd6d0e-fffa-4b2d-984a-cc47da3f164a;2.455;+++;Bacteroides fragilis;817;c6968069-f89f-4fb6-a4e4-7b1378afed58;2.453;+++;Bacteroides fragilis;817;9314b575-3792-41ea-86b5-fd033a796bb9;2.447;+++;Bacteroides fragilis;817;2e2c8e18-b9e5-4c58-918b-b611af9151a6;2.439;+++;Bacteroides fragilis;817;cc259805-3965-4664-9a9b-7ecbe15ab515;2.404;+++;Bacteroides fragilis;817;c67359ca-56ff-4150-8cd8-f85d7e796af8;2.355;+++;Bacteroides fragilis;817;5d847de6-829a-4791-938b-24811ca67285;2.346;+++;Bacteroides fragilis;817;98b8a88c-bb78-49b9-83f4-f806e04cc385;2.34;+++;Bacteroides fragilis;817;60ef4de2-c63b-4264-899c-99fc911f61e9;2.327;
MP_12388_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Bacteroides fragilis;817;cc259805-3965-4664-9a9b-7ecbe15ab515;2.537;+++;Bacteroides fragilis;817;fb5f3c8c-b102-497c-b132-f96889e802ce;2.533;+++;Bacteroides fragilis;817;2e2c8e18-b9e5-4c58-918b-b611af9151a6;2.509;+++;Bacteroides fragilis;817;9314b575-3792-41ea-86b5-fd033a796bb9;2.497;+++;Bacteroides fragilis;817;5d847de6-829a-4791-938b-24811ca67285;2.477;+++;Bacteroides fragilis;817;c6968069-f89f-4fb6-a4e4-7b1378afed58;2.384;+++;Bacteroides fragilis;817;c5416716-b9aa-4618-a282-b50c13bc7fe8;2.376;+++;Bacteroides fragilis;817;76bd6d0e-fffa-4b2d-984a-cc47da3f164a;2.376;+++;Bacteroides fragilis;817;60ef4de2-c63b-4264-899c-99fc911f61e9;2.364;+++;Bacteroides fragilis;817;98b8a88c-bb78-49b9-83f4-f806e04cc385;2.251;
MP_12389_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Bacteroides thetaiotaomicron;818;8d2e6f5d-97f7-459f-8f98-562fbc5efb09;2.058;+;Bacteroides thetaiotaomicron;818;c97f847a-5af6-44f5-84c2-91e0deb62567;1.997;+;Bacteroides thetaiotaomicron;818;6b4fc9af-6a98-49ef-9b03-b2436aa1e427;1.99;+;Bacteroides thetaiotaomicron;818;4b85c3e2-4836-435a-8d2f-984c6e49e58a;1.981;+;Bacteroides thetaiotaomicron;818;42e63715-553f-40f3-a962-8168f6e7b7ad;1.969;+;Bacteroides thetaiotaomicron;818;5de9eaf8-c1ec-460a-af35-74cdd4a29cd9;1.949;+;Bacteroides thetaiotaomicron;818;5c9db9d4-278b-4b91-8435-abd40eb5c785;1.884;+;Bacteroides thetaiotaomicron;818;1fed1b3f-2606-4988-8837-4dcf59b5b1ca;1.869;+;Bacteroides faecis;816;1e0f5b9f-a7d5-4e73-95b3-cd63be01444c;1.712;-;not reliable identification;E1;3180d3ad-317b-4588-bd63-6b6e1b982e90;1.685;
MP_12390_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Bacteroides thetaiotaomicron;818;5de9eaf8-c1ec-460a-af35-74cdd4a29cd9;2.257;+++;Bacteroides thetaiotaomicron;818;5c9db9d4-278b-4b91-8435-abd40eb5c785;2.249;+++;Bacteroides thetaiotaomicron;818;4b85c3e2-4836-435a-8d2f-984c6e49e58a;21.febr;+++;Bacteroides thetaiotaomicron;818;8d2e6f5d-97f7-459f-8f98-562fbc5efb09;16.febr;+++;Bacteroides thetaiotaomicron;818;6b4fc9af-6a98-49ef-9b03-b2436aa1e427;14.febr;+++;Bacteroides faecis;816;3180d3ad-317b-4588-bd63-6b6e1b982e90;06.febr;+;Bacteroides thetaiotaomicron;818;1fed1b3f-2606-4988-8837-4dcf59b5b1ca;1.99;+;Bacteroides faecis;816;1e0f5b9f-a7d5-4e73-95b3-cd63be01444c;1.84;-;not reliable identification;E1;69b19054-45ba-47ad-8aa5-a48dc5d8e761;1.434;-;not reliable identification;E1;09bf4788-1e1e-4dce-abed-6ec26798b819;1.382;
MP_12391_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Escherichia coli;562;631e1d31-81bd-4f97-b16b-195a5e43cfa9;2.677;+++;Escherichia coli;562;d44b0ddd-78fc-48e5-80c3-08291aaef29c;2.223;+++;Escherichia coli;562;689fb704-a4f4-46d6-92c7-0e5936a639a5;2.179;+++;Escherichia coli;562;3f402e73-bcef-40b1-9014-8a28878f12c5;2.169;+++;Escherichia coli;562;4a752505-cecf-4f86-96bf-5dc9de266913;2.161;+++;Escherichia coli;562;5da4606c-708e-4678-985d-805bda7ce7b9;2.117;+++;Escherichia coli;562;879137bf-678f-4d58-a599-fa9090c29832;2.095;+++;Escherichia coli;562;13a7f9d9-6248-415b-bb12-ca4fe9082a8c;2.075;+++;Escherichia coli;562;12486f06-3abc-4c64-a35e-f33002b47178;2.041;+;Escherichia coli;562;105827c0-10c3-4298-87f1-ea1ad077811f;1.982;
MP_12392_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Campylobacter jejuni;197;f0129499-564e-4f1b-a88e-da8ac5ed807d;2.448;+++;Campylobacter jejuni;197;26f8d597-c5ee-4e04-a041-1c4b797996c4;2.424;+++;Campylobacter jejuni;32022;ca343fd5-8d43-4f46-bd7d-82cd9805151c;2.339;+++;Campylobacter jejuni;197;8f4e602f-7e2e-4ec9-9e0c-dc975a41a0be;2.198;+++;Campylobacter jejuni;197;c0681964-45e2-4289-836c-5ee330adc882;2.169;+;Campylobacter jejuni;32021;73a4ce0b-1d56-4722-a974-04bd28340571;1.768;+;Campylobacter jejuni;197;2da52529-5bfd-4ae7-a87f-321c030ee571;1.732;-;not reliable identification;E1;d2c4741c-93c0-4af2-b58c-acb6f97a984e;1.688;-;not reliable identification;E1;237819a1-02da-40bd-a589-37979502c258;1.671;-;not reliable identification;E1;243c1c5e-6351-44f1-8f5c-024b44081708;1.653;
MP_12393_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Campylobacter jejuni;197;26f8d597-c5ee-4e04-a041-1c4b797996c4;2.467;+++;Campylobacter jejuni;197;f0129499-564e-4f1b-a88e-da8ac5ed807d;2.352;+++;Campylobacter jejuni;32022;ca343fd5-8d43-4f46-bd7d-82cd9805151c;2.234;+++;Campylobacter jejuni;197;8f4e602f-7e2e-4ec9-9e0c-dc975a41a0be;2.177;+++;Campylobacter jejuni;197;c0681964-45e2-4289-836c-5ee330adc882;04.febr;+;Campylobacter jejuni;32021;73a4ce0b-1d56-4722-a974-04bd28340571;1.852;+;Campylobacter jejuni;32021;d2c4741c-93c0-4af2-b58c-acb6f97a984e;1.847;+;Campylobacter jejuni;197;2da52529-5bfd-4ae7-a87f-321c030ee571;1.836;+;Campylobacter jejuni;32021;90e6e906-f072-45a1-b803-44daa802371c;1.807;-;not reliable identification;E1;237819a1-02da-40bd-a589-37979502c258;1.688;
MP_12394_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Massilia timonae;47229;59c914df-b820-405f-aee5-cb768163f6fb;2.318;+++;Massilia oculi;149698;339a3d15-99b4-40db-93bb-966b11e9fea6;02.febr;+;Massilia timonae;47229;87bfe76c-d428-4736-9174-04d4819eff49;1.914;-;not reliable identification;E1;5b69fe9c-1659-4709-895d-b830e46e7dc3;1.583;-;not reliable identification;E1;3dfe0758-b3b4-43f1-a1e7-53d31f5e33c7;1.535;-;not reliable identification;E1;039d74e0-488c-4980-817c-07e77193962d;1.462;-;not reliable identification;E1;aff4566e-2a08-457e-b18e-71191c4de729;1.367;-;not reliable identification;E1;121c997d-07c3-4d6b-bd9e-48c2699f378c;1.362;-;not reliable identification;E1;93bada9e-a721-4486-b746-1cbc1f0d56c9;1.353;-;not reliable identification;E1;3a941a0f-8b27-4c43-a8f2-53c930841546;1.313;
MP_12395_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Lactobacillus sakei;214325;868c0c6a-4571-4b43-b104-64592868bdfb;2.31;+++;Lactobacillus sakei;1599;a5fea919-b359-4eb7-a0c8-849794361672;2.307;+++;Lactobacillus sakei;1599;db083cd2-1397-430d-a7f8-43a42dcbd176;2.265;+++;Lactobacillus sakei;1599;b63693cb-c213-433c-995b-b9b47cc2ec37;2.251;+++;Lactobacillus sakei;214325;89109020-7431-48c6-888b-34b92494c3ae;2.209;+++;Lactobacillus sakei;1599;66055f8f-8c05-458d-bc41-aa936c6e8afb;2.199;+;Lactobacillus sakei;1599;4eabf864-7523-4030-9cf5-3599e40bcb60;1.827;+;Lactobacillus curvatus;28038;f3882223-baf5-4365-bdef-92347e962554;1.746;+;Lactobacillus sakei;214326;6c49bb26-3fff-4ae9-9713-4fcc9c0ef125;1.731;-;not reliable identification;E1;e935b82d-eb89-4edc-bc4e-191ecd0ef58f;1.453;
MP_12396_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Comamonas testosteroni;285;b7ebd43c-ca4e-4387-9333-c5a9d3f1b418;2.474;+;Comamonas testosteroni;285;12c23922-3921-45ac-b04c-a470a94cce77;1.923;-;not reliable identification;E1;bb056c72-aad9-40ce-9eb2-94513cc2da6f;1.536;-;not reliable identification;E1;ed9c596f-86d6-44f6-90ed-f079f86cf61a;1.366;-;not reliable identification;E1;1b4ec73f-1562-4b8a-8160-92c9cdcaaab0;1.273;-;not reliable identification;E1;e1fca822-907f-4c93-bfff-8d5d80557977;1.238;-;not reliable identification;E1;44931943-501c-4e15-b887-19412b9481b9;1.212;-;not reliable identification;E1;636916f1-26c8-447e-95d1-6357f2377645;1.197;-;not reliable identification;E1;b1c41aeb-698c-4695-8f75-331f70051e31;1.178;-;not reliable identification;E1;dcbadfc6-d4ab-4303-98b6-7568ca222d07;16.jan;
MP_12397_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Comamonas testosteroni;285;b7ebd43c-ca4e-4387-9333-c5a9d3f1b418;2.522;+++;Comamonas testosteroni;285;12c23922-3921-45ac-b04c-a470a94cce77;2.015;-;not reliable identification;E1;bb056c72-aad9-40ce-9eb2-94513cc2da6f;1.481;-;not reliable identification;E1;dcbadfc6-d4ab-4303-98b6-7568ca222d07;1.472;-;not reliable identification;E1;e161de1c-b5c6-4379-ae3d-f3011e1398c8;1.308;-;not reliable identification;E1;477a5cfb-4c6c-482e-a06d-0cfab909e28b;1.255;-;not reliable identification;E1;3369c4ba-1966-42a3-b02a-7cdf531e3d5b;1.249;-;not reliable identification;E1;97f9089b-62ca-4d3c-bc41-48b4da67496a;1.196;-;not reliable identification;E1;a670cab8-eab4-4e62-8621-6b28cf65f93b;1.175;-;not reliable identification;E1;174c22b9-243c-4231-9471-2cdf81916163;1.175;
MP_12398_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Enterococcus faecalis;1351;0ae85b21-2783-4fe6-9c04-96877702d15a;2.196;+++;Enterococcus faecalis;1351;46d48674-c407-48fe-b85b-300977b0558f;2.165;+++;Enterococcus faecalis;1351;a82c73c8-b1b2-4bda-bb0d-2cae2de47f5c;2.157;+++;Enterococcus faecalis;1351;4cea4049-e540-44da-a3c7-28a257f47036;2.133;+++;Enterococcus faecalis;1351;1cc3022d-bf5d-422d-aa5a-c1c5889e84de;2.125;+++;Enterococcus faecalis;1351;a4ab8bfd-4128-4b50-9270-292f99bdad8d;09.febr;+++;Enterococcus faecalis;1351;0bba480e-241f-4e83-b6f5-58e80a06389e;2.085;+++;Enterococcus faecalis;1351;f3aaad09-d984-4b9c-b55c-f2437ed1217d;2.012;+;Enterococcus faecalis;1351;ba0bb1df-5786-450a-ac91-fe4096b1a3e1;1.976;-;not reliable identification;E1;4a775033-13e6-4781-ac24-78e89bc3a61b;1.551;
MP_12399_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Enterococcus faecalis;1351;1cc3022d-bf5d-422d-aa5a-c1c5889e84de;2.391;+++;Enterococcus faecalis;1351;0bba480e-241f-4e83-b6f5-58e80a06389e;2.364;+++;Enterococcus faecalis;1351;0ae85b21-2783-4fe6-9c04-96877702d15a;2.357;+++;Enterococcus faecalis;1351;a82c73c8-b1b2-4bda-bb0d-2cae2de47f5c;2.309;+++;Enterococcus faecalis;1351;a4ab8bfd-4128-4b50-9270-292f99bdad8d;2.307;+++;Enterococcus faecalis;1351;46d48674-c407-48fe-b85b-300977b0558f;2.274;+++;Enterococcus faecalis;1351;ba0bb1df-5786-450a-ac91-fe4096b1a3e1;26.febr;+++;Enterococcus faecalis;1351;4cea4049-e540-44da-a3c7-28a257f47036;2.164;+;Enterococcus faecalis;1351;f3aaad09-d984-4b9c-b55c-f2437ed1217d;1.886;+;Enterococcus faecalis;1351;2aeff100-21f3-40c1-a875-36462325a3ed;1.871;
MP_12400_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Enterococcus faecium;1352;bb3fe81e-5ed8-4ff4-95bb-7f6ba07a768b;2.529;+++;Enterococcus faecium;1352;1a6211c6-69cb-4d4b-adb9-14528d6d6ea3;2.475;+++;Enterococcus faecium;1352;4509804f-448d-4303-a725-bbab15634749;2.455;+++;Enterococcus faecium;1352;caac92db-8113-4025-90f6-e6bdc2fb292d;2.447;+++;Enterococcus faecium;1352;264f9861-5740-4cf1-a735-5ec226c1d277;2.414;+++;Enterococcus faecium;1352;969dbc56-912b-4c02-92a4-49d0c49091d7;2.314;+++;Enterococcus faecium;1352;8d1f2790-fd62-4e33-9d0d-c84b048036e1;2.257;+++;Enterococcus faecium;1352;f1c60cab-6784-46e3-a2ea-2a1ef926f443;2.239;+++;Enterococcus faecium;1352;3414485a-fabc-425f-90a0-57c3d734379d;2.101;+;Enterococcus villorum;112904;790192b4-a055-4876-afd0-703332674418;1.908;
MP_12401_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Enterococcus faecium;1352;1a6211c6-69cb-4d4b-adb9-14528d6d6ea3;2.582;+++;Enterococcus faecium;1352;bb3fe81e-5ed8-4ff4-95bb-7f6ba07a768b;2.523;+++;Enterococcus faecium;1352;caac92db-8113-4025-90f6-e6bdc2fb292d;2.44;+++;Enterococcus faecium;1352;4509804f-448d-4303-a725-bbab15634749;2.399;+++;Enterococcus faecium;1352;264f9861-5740-4cf1-a735-5ec226c1d277;2.313;+++;Enterococcus faecium;1352;8d1f2790-fd62-4e33-9d0d-c84b048036e1;2.312;+++;Enterococcus faecium;1352;969dbc56-912b-4c02-92a4-49d0c49091d7;2.252;+++;Enterococcus faecium;1352;f1c60cab-6784-46e3-a2ea-2a1ef926f443;2.244;+++;Enterococcus faecium;1352;3414485a-fabc-425f-90a0-57c3d734379d;2.165;+++;Enterococcus faecium;1352;687e9f4b-2bba-406e-b089-14db8183ff00;2.129;
MP_12402_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Escherichia coli;562;13a7f9d9-6248-415b-bb12-ca4fe9082a8c;2.297;+++;Escherichia coli;562;beca17ff-a591-440f-8f9e-7ef5b9c3d1ce;2.179;+++;Escherichia coli;562;3f402e73-bcef-40b1-9014-8a28878f12c5;2.178;+++;Escherichia coli;562;9ee45974-40c5-426a-a849-ee627f18bbbc;2.154;+++;Escherichia coli;562;879137bf-678f-4d58-a599-fa9090c29832;14.febr;+++;Escherichia coli;562;12486f06-3abc-4c64-a35e-f33002b47178;2.127;+++;Escherichia coli;562;689fb704-a4f4-46d6-92c7-0e5936a639a5;2.087;+++;Escherichia coli;562;d44b0ddd-78fc-48e5-80c3-08291aaef29c;2.083;+++;Escherichia coli;562;631e1d31-81bd-4f97-b16b-195a5e43cfa9;2.018;+++;Escherichia coli;562;2d24f556-4c5d-4f55-bc0b-6b8e39158181;2.002;
MP_12403_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Escherichia coli;562;631e1d31-81bd-4f97-b16b-195a5e43cfa9;2.126;+;Escherichia coli;562;105827c0-10c3-4298-87f1-ea1ad077811f;1.901;+;Escherichia coli;562;d44b0ddd-78fc-48e5-80c3-08291aaef29c;1.817;+;Escherichia coli;562;3f402e73-bcef-40b1-9014-8a28878f12c5;1.787;+;Escherichia coli;562;13a7f9d9-6248-415b-bb12-ca4fe9082a8c;1.765;+;Escherichia coli;562;879137bf-678f-4d58-a599-fa9090c29832;1.763;-;not reliable identification;E1;93f2e1a3-7615-4c83-99c5-8b648e70347f;1.638;-;not reliable identification;E1;0300f8c4-7cc7-4e35-9e78-f7cd31a6e1e5;1.619;-;not reliable identification;E1;5da4606c-708e-4678-985d-805bda7ce7b9;1.574;-;not reliable identification;E1;689fb704-a4f4-46d6-92c7-0e5936a639a5;1.574;
MP_12404_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Haemophilus influenzae;727;94814411-1909-4dd6-bf7f-15e27ec9c7e8;2.601;+++;Haemophilus influenzae;727;fdb5531b-9a39-4d93-b97b-e4b2df64e115;2.559;+++;Haemophilus influenzae;727;eaf5f0be-09c5-4655-96ea-762fcbf877b1;2.549;+++;Haemophilus influenzae;727;3c1ff675-a74f-46fc-805f-95fd6eac4488;2.535;+++;Haemophilus influenzae;727;1ebd53b3-f2bb-45da-afd4-c88f34716f24;2.522;+++;Haemophilus influenzae;727;4f72b31a-00ab-470a-951b-ce5180bfb49c;2.509;+++;Haemophilus influenzae;727;d10485b6-d367-4fd0-a3be-242d64e57216;2.503;+++;Haemophilus influenzae;727;c5efcb7c-cdc8-4c23-a064-973fe2b30a4a;2.502;+++;Haemophilus influenzae;727;b3a8b290-1db6-49f6-94dd-464e40b3b9d8;2.493;+++;Haemophilus influenzae;727;0ba04e31-51f1-42be-91a1-09d8ddcf18bc;2.491;
MP_12405_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Haemophilus influenzae;727;3c1ff675-a74f-46fc-805f-95fd6eac4488;2.428;+++;Haemophilus influenzae;727;94814411-1909-4dd6-bf7f-15e27ec9c7e8;2.343;+++;Haemophilus influenzae;727;4f72b31a-00ab-470a-951b-ce5180bfb49c;2.342;+++;Haemophilus influenzae;727;c5efcb7c-cdc8-4c23-a064-973fe2b30a4a;2.31;+++;Haemophilus influenzae;727;b3a8b290-1db6-49f6-94dd-464e40b3b9d8;2.296;+++;Haemophilus influenzae;727;26ed41e6-48ad-4d5c-ae2e-ea808b0421b8;2.277;+++;Haemophilus influenzae;727;24d27bd7-d324-47b3-8d0f-0df5be157f05;2.266;+++;Haemophilus influenzae;727;1ebd53b3-f2bb-45da-afd4-c88f34716f24;2.233;+++;Haemophilus influenzae;727;d10485b6-d367-4fd0-a3be-242d64e57216;2.223;+++;Haemophilus influenzae;727;eaf5f0be-09c5-4655-96ea-762fcbf877b1;2.209;
MP_12406_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Haemophilus parainfluenzae;729;73328a30-65c0-42b2-beac-b803b156b63a;2.379;+++;Haemophilus parainfluenzae;729;08f70a69-bf0f-4229-8eb4-5c4010151c1f;2.351;+++;Haemophilus parainfluenzae;729;76f33366-2370-4db4-b727-220e43434dbb;2.231;+++;Haemophilus parainfluenzae;729;07f346d0-1203-45f5-856a-d14157f1b247;2.198;+++;Haemophilus parainfluenzae;729;f12a9536-ed14-4527-b58c-65ca2032cd40;2.182;+++;Haemophilus parainfluenzae;729;69e71a4b-509f-4733-980c-f38fd2df0add;2.109;+++;Haemophilus parainfluenzae;729;20359d62-c1b5-4d2a-ac42-5aaed83ae130;2.106;+;Haemophilus parainfluenzae;729;29f26e67-1c34-4ea7-bdcc-1879539280ba;1.84;+;Haemophilus influenzae;727;9221d2ed-a48d-4d24-8fb0-77da1f881851;1.81;+;Haemophilus influenzae;727;3c1ff675-a74f-46fc-805f-95fd6eac4488;1.736;
MP_12407_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Haemophilus parainfluenzae;729;08f70a69-bf0f-4229-8eb4-5c4010151c1f;2.33;+++;Haemophilus parainfluenzae;729;73328a30-65c0-42b2-beac-b803b156b63a;2.273;+++;Haemophilus parainfluenzae;729;07f346d0-1203-45f5-856a-d14157f1b247;2.254;+++;Haemophilus parainfluenzae;729;69e71a4b-509f-4733-980c-f38fd2df0add;2.201;+++;Haemophilus parainfluenzae;729;20359d62-c1b5-4d2a-ac42-5aaed83ae130;2.141;+++;Haemophilus parainfluenzae;729;76f33366-2370-4db4-b727-220e43434dbb;2.131;+++;Haemophilus parainfluenzae;729;29f26e67-1c34-4ea7-bdcc-1879539280ba;2.051;+;Haemophilus parainfluenzae;729;fe34098f-b713-40b3-8c6d-e9afd16e73b4;1.898;-;not reliable identification;E1;5f57d4ff-4225-4043-af3e-5794da3ef4b1;1.647;-;not reliable identification;E1;47a30778-a7f7-43fb-8190-6d25bd170c2f;1.641;
MP_12408_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Inquilinus limosus;171674;ab545581-0e85-46dd-8912-acd886157492;2.644;+++;Inquilinus limosus;171674;a7b75be9-31aa-4fde-967e-23773ac40974;2.556;+++;Inquilinus limosus;171674;7ebf8b98-5e5f-4191-b0bb-bfc9a7dd46a9;2.507;+++;Inquilinus limosus;171674;c3a53cf1-92f7-4745-88d1-7456489bae42;2.493;-;not reliable identification;E1;a41ce7b1-0720-4390-8e4e-1c3e2eb85148;1.305;-;not reliable identification;E1;86da59a0-62d6-43b1-bf82-a8a57d7aafa4;1.291;-;not reliable identification;E1;3895052f-5435-414e-9363-66dc1fc973fe;1.259;-;not reliable identification;E1;89e1b140-d17b-4cdd-b42d-fef668058a93;1.252;-;not reliable identification;E1;cc1600e0-d5a8-41ba-b1d5-c7654d7dd354;1.247;-;not reliable identification;E1;1be729db-d298-49a9-9734-9bc86e7ebfc5;1.244;
MP_12409_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Inquilinus limosus;171674;ab545581-0e85-46dd-8912-acd886157492;2.654;+++;Inquilinus limosus;171674;a7b75be9-31aa-4fde-967e-23773ac40974;2.548;+++;Inquilinus limosus;171674;7ebf8b98-5e5f-4191-b0bb-bfc9a7dd46a9;2.53;+++;Inquilinus limosus;171674;c3a53cf1-92f7-4745-88d1-7456489bae42;2.519;-;not reliable identification;E1;4035cc9c-7ef7-434f-8a6d-b0c634e8cbff;1.333;-;not reliable identification;E1;86da59a0-62d6-43b1-bf82-a8a57d7aafa4;1.327;-;not reliable identification;E1;a41ce7b1-0720-4390-8e4e-1c3e2eb85148;1.282;-;not reliable identification;E1;83d8923c-abfd-46ac-aa16-882dc3d4ed85;26.jan;-;not reliable identification;E1;e48c6b0f-46e0-430b-a17a-97326d66fbea;1.232;-;not reliable identification;E1;cc1600e0-d5a8-41ba-b1d5-c7654d7dd354;1.228;
MP_12410_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-21;+++;Yarrowia lipolytica;4952;378ce5ca-575e-47e5-b869-bf336001a3cd;2.32;+++;Yarrowia lipolytica;4952;0f49fd22-9e8b-4096-969b-dbe5b35c4f3c;17.febr;+++;Yarrowia lipolytica;4952;880eac18-fab0-48b5-9d6f-79ad85db3e93;2.152;+;Yarrowia lipolytica;4952;07597b2a-0c1b-4de8-85e5-ea713a188b4c;1.963;+;Yarrowia lipolytica;4952;92c0edd1-52e8-49a9-89cf-8048198f9071;1.908;+;Yarrowia lipolytica;4952;8612fc22-f6a4-4ab9-a48d-564ed0ba9357;1.88;+;Yarrowia lipolytica;4952;b1c0c918-42ef-4791-adb5-b91cd556a0fe;1.843;+;Yarrowia lipolytica;4952;a04ca7ab-9f49-47eb-901b-86f60ce7eb64;1.794;-;not reliable identification;E1;49dd3822-bac9-43aa-bc77-95492281db6b;1.689;-;not reliable identification;E1;6dc4986b-ecd2-437c-8e4d-6d95b5336e8c;1.333;
